Sector,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
Beverage and Food,24908.664,23803.836,28081.002,28642.083,30376.712,27813.987,32701.443,33087.305,36527.179,40409.243,40106.801,41426.653,41421.767,43274.112,54010.08,54697.148,57207.785,65536.141,71465.614,73639.755,77722.99,83402.697,83248.377,88386.398,89737.505,85115.006,102571.561,99798.57,101188.559,108717.4,112846.597,117398.406,115497.422,120809.458,116575.67,122327.598,122745.554,116527.839,139325.843,128108.614,135425.934,141979.339,142588.303,150658.029,150817.892,156366.486,149958.128,154150.546,153013.387,145273.834,173599.332,157238.236,180807.134,179699.442,180040.089,188342.52,186871.322,196418.61,184049.631,192799.424
Clothing and Footwear,9773.773,7588.253,10263.027,11237.533,18462.463,10604.072,10990.043,13244.403,9777.283,10201.479,12564.339,13139.273,14094.245,10211.246,6707.423,2811.229,11247.763,10853.269,17633.735,11472.548,13384.828,14335.101,15823.127,18895.14,16992.672,11256.463,17721.25,21986.903,25368.601,15845.937,20508.921,16545.646,16433.155,16866.943,19419.195,21248.731,21912.542,15964.22,22998.628,37082.553,15951.068,19325.501,23690.688,22322.954,19764.455,18781.012,21471.78,25159.873,22718.194,21343.078,30176.562,39575.535,20553.459,29662.8,21822.852,26488.228,23271.2,21823.334,25981.209,27497.617
Construction & Building Materials,1023.415,964.714,1180.556,1235.156,1194.623,1021.584,1311.552,1186.247,1328.251,1535.411,1632.749,1773.197,1743.096,1731.492,1947.396,1480.169,1736.309,3097.491,2898.067,2676.984,2895.685,3152.096,3265.097,3542.064,3393.557,3138.517,3953.996,3664.59,3396.001,3658.67,3572.231,3825.614,3864.347,4300.154,4427.216,4618.609,4682.557,4091.122,5086.948,4397.886,4064.833,4622.794,4494.191,4908.51,4607.281,5026.083,5076.868,5279.731,5381.946,5098.515,6167.675,5071.832,5652.074,5611.55,5819.484,6008.562,5809.946,6384.501,6504.434,6683.092
Education,260.883,170.575,208.404,210.882,126.153,110.241,138.335,291.7,402.757,255.97,234.011,259.84,313.077,267.613,142.578,35.74,56.665,126.504,128.824,323.794,264.327,190.583,191.754,222.382,293.559,202.434,235.638,200.039,171.512,217.334,172.442,458.142,500.056,434.616,426.405,441.775,433.25,431.242,566.823,232.179,368.22,427.452,253.24,659.368,723.408,605.911,471.487,586.228,528.978,499.005,538.71,276.624,593.008,416.451,355.938,817.515,629.604,657.233,573.454,584.974
Electronic & Electric Devices,1241.911,1117.084,1357.754,1388.068,1638.598,1424.409,1703.249,1633.314,1792.463,1967.232,2167.326,1983.232,1937.388,1885.458,1963.28,1365.367,1987.209,2932.858,2599.502,2591.885,2937.434,2931.431,3113.109,2981.506,2905.623,2665.858,3192.328,2973.944,2810.706,2885.081,2812.544,3161.622,3137.688,3218.967,3261.822,3279.61,3187.755,2840.857,3488.012,3173.497,2976.258,3343.798,3129.506,3423.603,3451.877,3440.942,3460.977,3486.312,3416.321,3254.337,4031.249,3752.008,4345.25,4684.232,4608.622,5071.091,5394.846,4984.898,4700.451,4725.363
Furniture,1235.206,1116.431,1415.216,1549.739,1671.032,1220.943,1530.457,1527.336,1617.287,1677.212,1808.02,2034.676,1970.447,1772.013,1453.336,784.243,1794.772,2856.206,2993.056,2560.68,2951.839,3080.8,3190.595,3759.554,3500.601,2897.417,4203.287,4102.15,3826.341,3479.252,3705.822,3713.241,3811.191,3804.737,4016.142,4379.501,4333.571,3717.019,5209.966,5269.124,3517.832,3927.893,4256.376,4456.118,4320.341,4175.317,4427.983,4829.385,4472.763,4298.514,5826.792,5260.175,4426.72,4922.987,4388.391,4763.564,4797.162,4861.941,5088.477,5517.111
Health,12614.094,11939.223,14027.252,12804.398,13299.023,12624.781,13975.094,13589.78,15053.449,16529.532,16251.415,16979.633,16132.182,16652.064,18364.531,13987.405,17195.378,21588.123,21296.824,20412.247,20873.084,21684.811,20879.643,22009.284,22945.293,19773.227,23742.499,22153.539,24128.499,24430.716,24567.51,25430.667,24783.54,26480.098,26126.146,27649.422,30689.707,26030.139,29065.127,29061.329,30384.174,31520.624,28655.489,29144.823,31262.954,35449.514,32672.006,32307.513,33266.697,30524.103,32734.737,31843.168,33789.432,30866.352,31382.865,32034.657,33772.494,36814.268,32736.227,35257.238
Hotels,1045.32,918.023,1064.079,1025.882,1105.78,1333.953,1451.638,1266.849,1301.277,1333.607,1344.622,1414.873,1859.413,1445.319,812.121,209.699,280.884,767.805,1313.054,1646.242,1512.519,1638.144,1663.124,1817.756,2294.087,1311.09,1844.112,1509.839,2067.072,2407.077,2371.082,2466.972,2093.915,2256.266,2300.264,2320.281,2249.725,2081.544,2688.464,2019.509,2592.628,2252.482,2664.833,3316.536,2424.416,2506.431,2671.953,2659.508,2563.478,2409.062,2861.787,2579.461,2870.352,2509.763,3284.048,3417.783,2780.464,2843.809,3166.369,3019.183
Jewelry,624.753,574.471,798.28,800.835,1236.534,910.031,726.464,767.98,576.731,624.591,647.34,774.969,763.203,685.302,423.218,152.204,707.83,1051.612,852.256,614.95,711.589,732.776,740.062,880.54,842.849,712.407,1003.382,995.636,1422.425,896.109,964.218,837.97,843.891,875.519,833.494,858.178,824.307,761.939,913.006,1523.687,875.358,980.463,1160.726,894.153,979.158,960.512,921.107,947.837,882.135,928.359,1094.112,1578.605,936.566,1253.899,991.422,920.817,923.112,927.079,875.879,903.119
Miscellaneous Goods and Services,4227.172,3894.387,4731.979,4584.009,4799.748,4383.269,4977.98,5050.562,5638.655,5954.014,6258.294,6728.647,6862.249,6680.723,5734.219,3570.769,4667.604,6634.571,8480.803,8582.097,10734.497,13059.414,15483.664,19717.412,22753.028,21308.077,29063.124,29633.1,34198.138,36744.134,40235.459,43143.775,44596.282,49054.761,50751.213,54644.646,56389.729,52750.683,65895.241,62562.851,65491.819,71136.929,75167.141,80371.558,79601.629,84550.587,82195.274,86503.976,85581.193,68635.876,75586.091,73121.028,79738.029,82369.109,82937.054,88655.11,88500.188,91062.196,93076.359,96387.346
