Date,Beverage and Food - Number of Transactions,Beverage and Food - Sales,Clothing and Footwear - Number of Transactions,Clothing and Footwear - Sales,Construction & Building Materials - Number of Transactions,Construction & Building Materials - Sales,E-Commerce (Mada) - Number of Transactions,E-Commerce (Mada) - Sales,Education - Number of Transactions,Education - Sales,Electronic & Electric Devices - Number of Transactions,Electronic & Electric Devices - Sales,Furniture - Number of Transactions,Furniture - Sales,Health - Number of Transactions,Health - Sales,Hotels - Number of Transactions,Hotels - Sales,Jewelry - Number of Transactions,Jewelry - Sales,Miscellaneous Goods and Services - Number of Transactions,Miscellaneous Goods and Services - Sales,Others - Number of Transactions,Others - Sales,Public Utilities - Number of Transactions,Public Utilities - Sales,Recreation and Culture - Number of Transactions,Recreation and Culture - Sales,Restaurants & Café - Number of Transactions,Restaurants & Café - Sales,Telecommunication - Number of Transactions,Telecommunication - Sales,Transportation - Number of Transactions,Transportation - Sales,covid_period,ramadan_month,post_epayments_law
2019-01,24908.664,2802871.73020001,9773.773,2075254.3328199,1023.415,1016552.24944999,1036951.0,282076.265,260.883,1040591.10809,1241.911,676315.320779993,1235.206,802069.936089992,12614.094,1973117.29363999,1045.32,685241.502309993,624.753,885794.064259982,4227.172,2290039.32895997,13033.703,2168834.14460027,846.109,247940.16429,3478.476,927160.44332,29663.872,2081076.92133992,480.769,157581.52719,1899.077,1550703.80265999,False,False,False
2019-02,23803.836,2530199.89780999,7588.253,1669056.65481991,964.714,971787.719509986,1229939.0,295138.635,170.575,486098.323939998,1117.084,631281.895839994,1116.431,736377.748429992,11939.223,1813683.20407999,918.023,1144949.11937999,574.471,853893.244159985,3894.387,2077502.28805997,11904.869,1913528.23765,861.438,217098.33177,2859.138,722548.515519999,29106.222,1948217.15045992,429.429,129559.50422,1746.701,1389410.25634999,False,False,False
2019-03,28081.002,3052079.62766003,10263.027,2381957.15942998,1180.556,1166672.00337999,1844709.0,440011.364,208.404,593100.085009998,1357.754,786550.177749992,1415.216,967104.968079988,14027.252,2163346.79443999,1064.079,586378.986899996,798.28,1189577.64257998,4731.979,2515978.49844997,15082.267,2679986.4990502,1071.022,254102.07516,3500.514,894417.781889995,35390.892,2385470.64784991,516.013,159813.41383,2086.371,1655389.90953999,False,False,False
2019-04,28642.083,3232267.7979601,11237.533,2746846.08937012,1235.156,1202743.62949999,2072183.0,495493.63598,210.882,693245.273059997,1388.068,865057.67151999,1549.739,1061816.08602998,12804.398,2009108.47987999,1025.882,534941.818919995,800.835,1130409.95388998,4584.009,2404890.99344997,15835.048,2931348.57069,1139.29,276485.29378,3361.925,912410.847849994,35198.134,2300698.58243993,464.39,154405.30497,2048.745,1672051.67368999,False,False,False
2019-05,30376.712,3495170.839,18462.463,4799802.9628707,1194.623,914062.8424,2259611.0,624179.5831,126.153,338580.8786,1638.598,992138.354,1671.032,1080166.321,13299.023,2206494.2895,1105.78,787580.281749993,1236.534,1733235.107,4799.748,2576911.213,17886.564,3420845.37787,1219.179,281471.5487,3662.062,1073186.083,27549.407,2011839.923,556.651,192872.9794,2165.553,1915379.4871,False,True,False
2019-06,27813.987,2656291.73597,10604.072,2338217.16684996,1021.584,872064.183999988,2468661.0,610615.25135,110.241,158873.2729,1424.409,832193.855949992,1220.943,720435.188919995,12624.781,1795911.03987,1333.953,774073.541549995,910.031,1181050.49189998,4383.269,1916124.80496998,10830.075,2287362.95188809,1130.382,223566.038109999,2971.953,752327.896429996,34922.072,2476076.31272996,452.041,139261.66786,2142.243,1636422.86833,False,True,False
2019-07,32701.443,2964746.96640004,10990.043,2301733.81653994,1311.552,1157338.26128998,3192245.0,881494.198,138.335,250216.96181,1703.249,1039371.32824999,1530.457,976377.06140999,13975.094,2189404.32942999,1451.638,733104.809289992,726.464,882539.483809986,4977.98,2384534.35690998,13634.697,2723152.89589071,2071.721,314884.808319997,3147.021,779412.359419995,41034.79,2552515.49402992,551.051,154727.29443,2588.204,2133472.61984999,False,False,False
2019-08,33087.305,3059998.13198006,13244.403,2734288.6278601,1186.247,905328.970419986,3669201.0,997319.18326,291.7,1248276.30606,1633.314,868761.549609993,1527.336,829737.26019999,13589.78,1883641.73920999,1266.849,621123.900789998,767.98,864090.620339986,5050.562,2135942.80347999,17422.591,2951204.29108258,1798.428,266155.97253,3913.466,1055822.48935,40425.012,2560806.74572996,516.372,138939.71853,2303.998,1634392.59443999,False,False,False
2019-09,36527.179,3275251.82032009,9777.283,1894842.45520995,1328.251,1097270.17513998,4113448.0,1169310.50321,402.757,1451716.48190999,1792.463,1032223.74872999,1617.287,996060.915459995,15053.449,2210938.58481999,1301.277,656407.236129992,576.731,716881.025749991,5638.655,2556362.26399998,20107.293,3011663.41221379,2077.06,302783.536769999,5033.126,1100324.86685,44116.194,2513913.61475994,548.31,146983.748690001,2573.871,1879081.61300999,False,False,False
2019-10,40409.243,3455207.39479009,10201.479,2067083.93083993,1535.411,1209676.60039998,4693460.0,1272626.47964,255.97,491252.675739997,1967.232,1133987.44422999,1677.212,948695.163599985,16529.532,2252452.75874,1333.607,689406.686279995,624.591,803757.819539989,5954.014,2626943.11603998,23518.197,3227660.17228261,2261.268,335497.149989999,4565.201,968369.632799994,49960.417,2816242.24069002,624.567,195767.87939,2788.357,1895700.35976999,False,False,False
