Sector,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
Beverage and Food,-4.435516894844305,17.968389632662564,1.9980804103785221,6.056225030840112,-8.43647923448726,17.571936019097144,1.1799540466761682,10.396355943767555,10.627877942613662,-0.7484475767091325,3.2908433659418534,-0.01179433926269402,4.471912074634576,24.809216189115556,1.2721106874864718,4.590069303064936,14.558081561801428,9.047638309982275,3.042219717023631,5.544878578153889,7.307628026147728,-0.18502998769932555,6.171917321583353,1.5286367931862221,-5.151133854234091,20.509374104961008,-2.703469629364419,1.3927945059733604,7.440407368584023,3.7981013158887134,4.033625400329988,-1.6192587827810856,4.599268025220504,-3.5045170056139163,4.9340724355262155,0.34166942442539483,-5.065531742192464,19.56442700357637,-8.051075635695238,5.7118095118881,4.839106370866886,0.4289102937717004,5.659458616321422,0.10610984430174941,3.6790024886437234,-4.098293799350339,2.7957257508576028,-0.7376937866960365,-5.058088806308159,19.498004024592607,-9.424630735330242,14.989291790325087,-0.6126373310026523,0.18956486242176496,4.611434623318811,-0.7811289771422869,5.1090172091788455,-6.297254114566842,4.754039957841583
Clothing and Footwear,-22.361067726864537,35.24887744254179,9.495307768361116,64.29284790531872,-42.56415300602092,3.6398376020079892,20.512749586148125,-26.17800137914862,4.338587724217446,23.161935636979702,4.575919194794076,7.268073355352311,-27.55024479849755,-34.31337370581416,-58.08779318077897,300.1012724328044,-3.5073107425894423,62.47395139657923,-34.93977311102837,16.668311172025586,7.099628026598492,10.380296588074266,19.414702289882403,-10.068557311562664,-33.75695711657354,57.43177941419078,24.07083586090144,15.380510843205153,-37.53720593421765,29.427000751044254,-19.324639263079703,-0.679882792125508,2.6397122159439235,15.131680945385305,9.421276216650586,3.12400302869853,-27.145741466234274,44.063587196869,61.23810950809761,-56.98497889290417,21.15490323281175,22.587704194576897,-5.773297930393562,-11.46129226445568,-4.975816434098501,14.32706608142309,17.176466040542525,-9.704655504421666,-6.052928326961194,41.38805096434544,31.146599801528097,-48.06524030565854,44.32023339721067,-26.430235850964845,21.37839728739397,-12.145123486554098,-6.221707518305896,19.052428011228706,5.836556720666852
Construction & Building Materials,-5.735796328957454,22.373677587347117,4.6249394353169215,-3.281609772368832,-14.484820734240012,28.384156368932945,-9.553948299419302,11.970862729262954,15.596449767400888,6.33954035759805,8.601934528822252,-1.6975553195724968,-0.6657120433986474,12.469246176130188,-23.992398053605935,17.304780737875202,78.3951474075179,-6.4382430812551235,-7.6286366050198335,8.169679011902954,8.854934152022764,3.58494792036792,8.482657636204971,-4.192668455454218,-7.515418188054602,25.98294035049038,-7.319329609842795,-7.329305597624836,7.7346561440941874,-2.3625798445883306,7.093130315480711,1.0124649271986197,11.277636299224692,2.9548244086142095,4.323100567038063,1.3845727144254694,-12.630599050903168,24.34114651188599,-13.54568593978157,-7.573024857852162,13.726541779207157,-2.781932311930835,9.21898958010463,-6.136872492874623,9.090003409820223,1.0104289960989554,3.9958297123344533,1.9359887842770762,-5.2663293165706175,20.970027547236782,-17.767521797111552,11.440481467051722,-0.7169757508482588,3.7054646220741283,3.2490509467849593,-3.3055496473199386,9.889162481028224,1.8785023293128145,2.7467109359553765
Education,-34.61628392804437,22.17734134544922,1.1890366787585593,-40.17839360400603,-12.613255332810159,25.484166507923554,110.86492933820074,38.072334590332545,-36.44554905315116,-8.578739696058136,11.0375153304759,20.488377463054206,-14.521667193693567,-46.722319169846,-74.93301911935923,58.54784555120312,123.24891908585549,1.8339341048504432,151.34602248028312,-18.365689296280962,-27.898776893771725,0.6144304581205962,15.972548160664202,32.00663722783319,-31.041460149407797,16.402382998903352,-15.107495395479509,-14.260719159763834,26.71649797098745,-20.655764859616987,165.67889493278898,9.148691890287285,-13.086534308157482,-1.889253962118287,3.6045543556008974,-1.9297153528379796,-0.4634737449509485,31.43965569216356,-59.038535839230235,58.59315441965036,16.086035522242128,-40.755921132665186,160.37276891486337,9.712330595357965,-16.24214827593835,-22.185436474993836,24.335983812915284,-9.765824900891806,-5.66620918072206,7.956834099858723,-48.65066547864343,114.37330094279599,-29.773122790923566,-14.530641059812567,129.67904522697773,-22.985633291132267,4.388313924307963,-12.747229673494786,2.00887952651827
Electronic & Electric Devices,-10.051203347099747,21.544485463940035,2.2326577568543504,18.04882757905233,-13.071479398851938,19.575838119528854,-4.105976284148705,9.74393166286458,9.750215206673719,10.171347355065397,-8.494061345639746,-2.3115802891441883,-2.6804130096810708,4.127485205186221,-30.454800130394034,45.54394532752002,47.58679132391208,-11.366250940209177,-0.2930176626138259,13.33195724347338,-0.20436203843219314,6.197587458139031,-4.227381694633891,-2.5451231692976584,-8.25175874502645,19.748613767124866,-6.840901060292048,-5.488939939689508,2.646132324049555,-2.514210172955289,12.411468051699813,-0.7570164934327939,2.590410518827868,1.3313277209738406,0.5453393839394138,-2.800790337875536,-10.882203933489244,22.780273699098565,-9.017027464355065,-6.2151941533267525,12.349063824439943,-6.408640713344527,9.397553479686582,0.8258551006059989,-0.3167841727848342,0.5822533480657199,0.7320187334385553,-2.00759427153967,-4.741474820428171,23.87312684580607,-6.926910245435103,15.8113202317266,7.801208215867894,-1.614138667768794,10.034865085485434,6.384326370794757,-7.598882340663648,-5.706174930760877,0.5299916965414653
Furniture,-9.615804975040588,26.762513760366737,9.505474782648026,7.826672749411356,-26.93479239176748,25.350405383379915,-0.2039260168694823,5.8894048198955495,3.70527927325206,7.799133323634688,12.53614451167575,-3.15671880928462,-10.070506844386074,-17.983897409330517,-46.03842470013816,128.85406691548405,59.14032534494633,4.79132107418021,-14.445970940737496,15.275590858678179,4.36883583420371,3.5638470527135757,17.83237922707208,-6.887864890356676,-17.230869784931222,45.07014351058203,-2.406140717966687,-6.723523030605893,-9.071042021607589,6.5120318965110835,0.20019849847077165,2.637857332718241,-0.16934338898260126,5.556363028508926,9.047463959192692,-1.0487496178217648,-14.227342761893135,40.165169992405225,1.1354776595470906,-33.23687201136279,11.656639657607304,8.362829639198432,4.692771503269455,-3.0469794561095553,-3.3567720696121017,6.051420766375348,9.065120620381784,-7.3844185129162465,-3.8957798568804103,35.55363551217934,-9.72433888149775,-15.844624941185415,11.210715834748974,-10.859179599702385,8.549215418589661,0.7053122410027424,1.35036090088263,4.659373694580005,8.42362066292135
Health,-5.350134539983598,17.488818158434594,-8.717701799326061,3.862930533711939,-5.069861146942889,10.695734048772799,-2.7571478231201763,10.770365671850456,9.805613318250185,-1.6825461241128825,4.4809513510054355,-4.990985376421275,3.2226390701518115,10.283812264954072,-23.834673480090494,22.934725919496856,25.546079882628913,-1.349348435711617,-4.153562991364357,2.2576495375545846,3.888869512526294,-3.713050577198951,5.410250548824047,4.252791685545065,-13.824473716679064,20.073971739665964,-6.692471588605731,8.914873601007933,1.2525312909021036,0.5599262829627971,3.5134085627725575,-2.544671753988992,6.845503104076345,-1.336671790263011,5.830465771721549,10.995835645316564,-15.182836382243725,11.659515148958688,-0.013067205933758874,4.551908138819116,3.7402695232063854,-9.089715355888883,1.7076449122888748,7.267606325830145,13.391440872797888,-7.835108825469373,-1.1156125522259086,2.9689193346451592,-8.244263023768184,7.242257045194744,-2.72361742206757,6.112030059320728,-8.650870485186024,1.6733853096731366,2.0769040685099993,5.424865326324557,9.006660864311634,-11.077338275475146,7.7009821565570125
Hotels,-12.17780201278077,15.909841038841076,-3.5896770822467006,7.788225156499462,20.634574689359543,8.8222748477645,-12.729688806713524,2.7176088073637805,2.4844825506022072,0.8259554726392393,5.224591000295997,31.419074362151235,-22.270146546248736,-43.810259188455966,-74.17884773328112,33.946275375657486,173.35305677788693,71.01399443869214,25.37504169668574,-8.122924819072775,8.305680788142155,1.5248964681981558,9.297683155314939,26.204342056909713,-42.84915960031158,40.65487495137634,-18.1265020779649,36.906782776176804,16.448628785064102,-1.4953821585267257,4.044145246769215,-15.122060566556906,7.75346659248346,1.9500360329854693,0.8702044634876671,-3.0408385880848043,-7.4756247985865,29.157202538115932,-24.88242356974093,28.37912581721598,-13.119737964721512,18.306516988815,24.455678836159713,-26.899150197676125,3.3828765360400137,6.603892147838897,-0.465764180732231,-3.61081824156948,-6.023691250714858,18.792584001574063,-9.865374327299692,11.277200934613862,-12.562535884100622,30.85092098337572,4.072260819573903,-18.64714641040698,2.2782168731549923,11.342533904351516,-4.6484158984628765
Jewelry,-8.048300688432075,38.95914676284791,0.32006313574184375,54.405589166307664,-26.40469247105216,-20.17151064084629,5.714804863007661,-24.902862053699316,8.298496179327962,3.642223471039463,19.71591435721569,-1.518254278558251,-10.207113965746984,-38.243577284175444,-64.03650128302671,365.0534808546425,48.568441574954434,-18.957181926413934,-27.84445049374835,15.714936173672655,2.977420955073762,0.9943011233992438,18.981923136169666,-4.280441547232372,-15.47631900850568,40.84392769863292,-0.7719891327530259,42.865967080338606,-37.00131817143259,7.600526275263375,-13.093304626132262,0.7065885413558792,3.7478773917484665,-4.8000100511810695,2.9615090210607375,-3.9468501872571893,-7.566113110770633,19.826652789790256,66.88685506995573,-42.55001191189529,12.007087385960947,18.38549746395326,-22.966057450250965,9.50676226551832,-1.9042891954107577,-4.102499500266521,2.901942988165329,-6.93178257442999,5.240014283528027,17.85440761601924,44.2818468310374,-40.67128889114123,33.88260944770576,-20.932866203737287,-7.121588990359307,0.24923519005404238,0.42974200313721234,-5.52272244328692,3.1100186212935865
Miscellaneous Goods and Services,-7.872520919423187,21.50767245268639,-3.1270214850911304,4.706338927345022,-8.677101381155827,13.567750462040994,1.4580613019739008,11.644110101014494,5.592805376459453,5.110501923576249,7.51567439944496,1.9855700559116896,-2.64528436668503,-14.167688137945545,-37.72876480650634,30.717052825315804,42.140828570718504,27.827451089151054,1.1943916159825818,25.08011736525466,21.658369274312548,18.563237217228878,27.34332132239501,15.395610742423994,-6.350587710787314,36.3948703583153,1.9611656338114125,15.405198916076968,7.444838078611182,9.501720737247489,7.228241139239899,3.3666664541987856,9.997423103567238,3.4582820615515875,7.671605799845604,3.1935114009156607,-6.453384445241794,24.91827072646624,-5.057102682119319,4.681640867037862,8.619565139884111,5.665428711436227,6.923792671587714,-0.9579620193501781,6.217156686579872,-2.7856849769712366,5.242031311921891,-1.0667521224689058,-19.800281353871753,10.12621300265768,-3.2612653563470984,9.049381800266797,3.299655174571714,0.6895121325156017,6.894452749672064,-0.17474683636398147,2.8949181441286997,2.211854192490592,3.5572803186252777
