Sector,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
Beverage and Food,100.0,95.5644831051557,112.73588177993005,114.98843534924232,121.95239375343454,111.66390537846591,131.28541538799513,132.83452295956138,146.64447278264302,162.2296683595716,161.01546433803114,166.31423106433968,166.29461539968582,173.7311643852115,216.83250454540638,219.5908540096731,229.67022639190927,263.1058052732174,286.91066690690434,295.63911978579023,312.03195000743517,334.83408423671375,334.2145407718374,354.84198590498465,360.26623105920095,341.7084352657372,411.79069660259574,400.65806018339646,406.2384036333703,436.4641957513257,453.0415481135399,471.3155470722958,463.68372868171497,485.0097861531233,468.01253571849537,491.1046132381889,492.7825675435663,467.82051016465596,559.3469123835786,514.3134694016508,543.6900750678559,569.9998161282356,572.4446040140892,604.8418694796317,605.4836662456082,627.7594253951155,602.0319997893102,618.863163435823,614.2978483310063,583.2261176271838,696.9435695146074,631.259211654226,725.8804968423838,721.4334819402599,722.8010663277646,756.1325649581205,750.2261943876235,788.5553797666546,738.8980436686608,774.0255519123787
Clothing and Footwear,100.0,77.63893227313547,105.005784357791,114.97640675714487,188.89801308051662,108.49517376759212,112.44422189874884,135.5096235609319,100.03591243627206,104.37605825304108,128.5515736860269,134.43398982153565,144.20475081629175,104.47598895533996,68.62675243224903,28.762986412719023,115.08107462696341,111.04482373388456,180.41891294180868,117.38095411055691,136.9463767983971,146.66906014698725,161.89374359318558,193.32493193774812,173.85990036805643,115.17008835789413,181.3143194547285,224.95819168298672,259.55791074746674,162.1271232716373,209.8362730544284,169.28617024356922,168.1352227026349,172.5735087156209,198.68678145072533,217.40561193717105,224.19736983864885,163.33733144815213,235.30961891584758,379.40878103062147,163.20276724249686,197.72815472591805,242.3904054248037,228.39648516494094,202.2192964784429,192.15723549135018,219.68772960043168,257.4223178704887,232.44036872966052,218.37091980752982,308.7503873887802,404.91563493443124,210.2919619680138,303.493850327811,223.2797098929963,271.01333333606175,238.09842933737056,223.28464145831913,265.8257870322955,281.3408598705945
Construction & Building Materials,100.0,94.26420367104255,115.35457268068183,120.68965180303199,116.7290883952258,99.82108919646477,128.1544632431614,115.91065208151142,129.78615713078273,150.02818993272524,159.53928758128424,173.26275264677574,170.32152157238266,169.1876706907755,190.28409784886875,144.63037966025513,169.65834974081872,302.66226310929585,283.17613089509143,261.57365291694964,282.9433807399735,307.99783079200523,319.03939262176146,346.1024120224933,331.59148537006,306.67099856851814,386.3531411988294,358.07468133650576,331.8302936736319,357.49622587122525,349.05009209362777,373.8086699921342,377.5933516706322,420.17695656209855,432.5924478339677,451.2938543992418,457.5423459691327,399.7520067616754,497.0562284117392,429.7265527669617,397.1832541051284,451.7027794198834,439.136713845312,479.6206817371252,450.1869720494619,491.10898315932434,496.07129072761296,515.893454756868,525.8810941797805,498.1864639466884,602.6563026729137,495.57921273383727,552.2758607212128,548.3161767220531,568.6338386675982,587.1090417865676,567.7018609264081,623.8428203612416,635.5617222729783,653.0187656033964
Education,100.0,65.38371607195563,79.88408596957257,80.83393705224182,48.35615965777763,42.2568737710008,53.025685843845714,111.81257498572157,154.38223264835196,98.1167803191469,89.6995971374141,99.60020392283131,120.0066696565127,102.57970047875868,54.652085417601,13.699627802501507,21.720464729399772,48.490702728809474,49.379990263834756,124.11464142929974,101.32013201320133,73.0530544343633,73.50191465139545,85.24204336809989,112.52515495451986,77.59570382125321,90.32324835270984,76.67766776677668,65.7428809082999,83.30707635223453,66.09936254949538,175.6120559791171,191.67826190284535,166.59422039764954,163.44683248812686,169.33836240766936,166.07061403004414,165.30092033593604,217.2709605455319,88.99736663561826,141.14373109784847,163.8481618196663,97.07033421112146,252.7447169804089,277.2921194558481,232.25392225633712,180.72737587347586,224.70916081155156,202.76445763043202,191.2753993169352,206.49486551442604,106.033739262428,227.30802696994442,159.6313289865572,136.43587355251205,313.3646117224963,241.3357712077828,251.92634246002999,219.81271297861494,224.2284855663267
Electronic & Electric Devices,100.0,89.94879665290026,109.32780207277332,111.76871772614945,131.94166087585987,114.69493385596874,137.1474284389139,131.51618755289226,144.3310349936509,158.40362151555144,174.51540408290128,159.69195860250852,156.00055076410467,151.81909170624948,158.085402255073,109.9408089629611,160.01219088968531,236.15685826117976,209.31467713869995,208.70134816424044,236.52532266804948,236.04195469723678,250.67086127749891,240.07404717407286,233.96386697597492,214.65773312258287,257.04965975822745,239.46514685834975,226.32104877080565,232.30980319845784,226.46904649366982,254.57717984622087,252.6499886062689,259.1946604869431,262.64539085328977,264.0776996097144,256.6814369145615,228.74883949010837,280.8584512094667,255.53336752794684,239.6514726095509,269.24618591831455,251.99116522842618,275.6721697448529,277.948822419642,277.0683245417747,278.68156413784885,280.7215653939775,275.0858153281515,262.0426906597977,324.60047459117436,302.11569105998734,349.88417044377576,377.17936309445685,371.09116514790514,408.3296629146533,434.3987612638909,401.38931050614735,378.4853342952917,380.4912751396839
Furniture,100.0,90.38419502495941,114.57327765571085,125.46401167092777,135.28366928269455,98.84529382143545,123.90297650756233,123.65030610278774,130.93257319022092,135.78399068657373,146.37396515237134,164.72361695134254,159.52375555170556,143.45890483044934,117.65940256119222,63.49086711042532,145.30143150211384,231.2331708233283,242.31229446748154,207.3079308228749,238.97544215296884,249.41588690469447,258.30468763914683,304.3665591002635,283.40220173800975,234.5695373889052,340.2903645221931,332.1024995021074,309.7735114628653,281.67382606625944,300.0165154638174,300.61714402294035,308.5469953999576,308.02449146134336,325.13945042365407,354.5563250178513,350.8379169142637,300.9230039361856,421.7892400134067,426.57856260413246,284.7971917234858,317.99497411767754,344.5883520643521,360.7590960536138,349.7668405108136,338.0259648997819,358.48133833546797,390.9781040571371,362.1066445596929,347.99976684051086,471.72633552622,425.8540680663793,358.379088184481,398.5559493720076,355.2760430244024,385.6493572731998,388.3693893973961,393.6137777828152,411.95371460307024,446.6551328280465
Health,100.0,94.6498654600164,111.20300831752165,101.50866166052037,105.42987074616694,100.08472269193491,110.78951845451603,107.73488765820203,119.33832901514766,131.04018409883423,128.83537256024889,134.60842292756027,127.89013622381442,132.01157372063344,145.58739613007484,110.88711563430557,136.31877168506912,171.1428739947554,168.83356030167528,161.82095202398207,165.47430199901794,171.9093816805234,165.52629939177558,174.48168691306725,181.90202958690494,156.7550313165575,188.2219920035478,175.62528866520262,191.28206116111076,193.67792883103616,194.7623824588591,201.6051806812285,196.4749905938548,209.9246921736908,207.11868803260862,219.1946722451886,243.29695814855987,206.35757906988803,230.417872262566,230.38776308468925,240.87480242338452,249.88416924751,227.17040954348371,231.0496734842788,247.84145417023217,281.03099596372124,259.01191159666325,256.12234219913057,263.72640793702664,241.9841092035623,259.509220400609,252.44118206190635,267.87046299163467,244.69733617016013,248.79206544679312,253.9592379761876,267.7361846201558,291.85027477994055,259.52103258466286,279.50670099652024
Hotels,100.0,87.82219798721923,101.79457008380209,98.14047373053228,105.78387479432136,127.61192744805419,138.87020242605135,121.19245781196189,124.4859947193204,127.5788275360655,128.63257184402863,135.35309761604105,177.8797880075001,138.26569854207324,77.69113764206178,20.060746948302917,26.870623349787625,73.45167030191712,125.61263536524703,157.48689396548426,144.69435196877512,156.71220296177248,159.10190180997208,173.89469253434356,219.46265258485442,125.4247503156928,176.4160257146137,144.43797114759118,197.74537940534958,230.27178280335212,226.82833964718938,236.0016071633567,200.31330119006623,215.84452607813876,220.0535721118892,221.96848811847093,215.218784678376,199.12983583974287,257.19052538935443,193.19528948073318,248.0224237554051,215.48253166494473,254.9298779321165,317.2747101366089,231.9305093177209,239.7764320973482,255.61100906899324,254.42046454674164,245.23380400260208,230.46167680710212,273.7713810125129,246.76280947461063,274.5907473309609,240.0951861630888,314.1667623311522,326.96045230168755,265.991658056863,272.0515248918992,302.90906134006815,288.82858837485173
Jewelry,100.0,91.95169931156792,127.77529679729427,128.18425841892716,197.9236594302068,145.6625258302081,116.28019393264218,122.92538011021956,92.31344227238604,99.97406975236613,103.61534878584015,124.04406221338672,122.16075793153453,109.6916701480425,67.74165150067306,24.362267968301072,113.29757520171972,168.324441819407,136.41487115708125,98.43089989163718,113.8992529847796,117.29051321082089,118.45673410131683,140.94210031804568,134.90915609849012,114.0301847290049,160.60459093433724,159.3647409456217,227.67797833703875,143.43412516626572,154.3358735372219,134.12820746759118,135.07594201228324,140.13842270465287,133.41176432926292,137.36276576503033,131.94126318721158,121.95843797468757,146.1387140197806,243.88630386728832,140.11265252027601,156.93610114717336,185.78958404361404,143.12104143557534,156.72721859678944,153.742679106783,147.43538646473084,151.71387732431856,141.19740121295936,148.5961652044888,175.12713024187158,252.67665781516854,149.90980435468097,200.7031578879973,158.6902343806272,147.3889681202011,147.75631329501417,148.39128423552987,140.19604547717256,144.55616859782984
Miscellaneous Goods and Services,100.0,92.12747908057682,111.94195552014446,108.44150652019839,113.54513135495787,103.69270519392163,117.76147268197272,119.47850714378315,133.39071606265372,140.8509992023036,148.0491922259137,159.17608746462176,162.33664019349106,158.04237442905094,135.65142369413877,84.47181709189974,110.41906977052271,156.95058067190075,200.62592674251252,203.02218599101246,253.940388515064,308.9397355962805,366.28895157329777,466.4445165704164,538.2564986709791,504.0740476138658,687.5311437528447,701.0147682658761,809.0074877483103,869.2367852550123,951.8292371353712,1020.6297496293031,1054.9909490316459,1160.4628579106788,1200.5949367567728,1292.699847557658,1333.982364569031,1247.8953541516646,1558.8492968821708,1480.0166872793443,1549.305753349994,1682.849171975969,1778.1897921352625,1901.3079666500441,1883.0941584586576,2000.1690728458652,1944.4506634695726,2046.3793760935207,2024.549580665277,1623.6830675449216,1788.1006734526063,1729.785965652687,1886.3209020120307,1948.562987264299,1961.9985654711948,2097.26762951685,2093.602720684183,2154.2108057112414,2201.8588077324507,2280.185097743835
