Sector,LevelCorrelation,DifferencedCorrelation
Hotels,0.8611684724795199,-0.2376142292643483
Restaurants & Café,0.9649293243897921,-0.18606649469166897
Education,0.7639027203331376,-0.16374483137199794
Miscellaneous Goods and Services,0.9726896552280032,-0.03540348259190523
Transportation,0.985065637771002,-0.003754123807954944
Public Utilities,0.9673090006221001,0.01691818293628798
Health,0.9530430418206183,0.07742933041175783
Construction & Building Materials,0.9620654343837977,0.0887442453051388
Others,0.9851011518487106,0.11227289942655566
Electronic & Electric Devices,0.9221814817145723,0.1617594672926223
Recreation and Culture,0.9350184364399098,0.1781881588661469
Telecommunication,0.948125267029446,0.2387748278060301
Beverage and Food,0.9798938653549409,0.2743844929725292
Jewelry,0.5112584156167341,0.30500901164587224
Furniture,0.9016634379505577,0.3087942952396219
Clothing and Footwear,0.8036041253840857,0.32802941256573676
