DroppedSector,R2,p,SignificanceLost
Restaurants & Café,0.20900636708328368,0.1162639769684357,True
Education,0.23181120751012108,0.09574294873179333,True
Jewelry,0.2338444537285627,0.09408929425703945,True
Beverage and Food,0.24129904852188805,0.08825165594458592,True
Public Utilities,0.2792031177646183,0.0634053074241242,True
Hotels,0.29674241884764857,0.054229035699285305,True
Electronic & Electric Devices,0.29952582393878296,0.052888518526940244,True
Furniture,0.30523758426388375,0.050230495838544394,True
Telecommunication,0.31211838518984764,0.04718785637016783,False
Recreation and Culture,0.33781744774660655,0.03722349680392756,False
Transportation,0.355416706983661,0.03152281182383718,False
Clothing and Footwear,0.37869337481339577,0.02516831389551762,False
Construction & Building Materials,0.3863130282143748,0.02334738823972384,False
Health,0.43573317847189974,0.014075215871578721,False
