Sector,ShapeCluster,ClusterLabel,ManualTier
Beverage and Food,0,Moderate (model),Moderate adopters
Clothing and Footwear,1,Slow (model),Slow adopters
Construction & Building Materials,0,Moderate (model),Moderate adopters
Education,2,Slow (model),Slow adopters
Electronic & Electric Devices,0,Slow (model),Slow adopters
Furniture,0,Slow (model),Slow adopters
Health,0,Slow (model),Slow adopters
Hotels,0,Slow (model),Slow adopters
Jewelry,1,Slow (model),Slow adopters
Miscellaneous Goods and Services,0,Rapid (model),Rapid adopters
Others,0,Moderate (model),Rapid adopters
Public Utilities,0,Moderate (model),Moderate adopters
Recreation and Culture,0,Slow (model),Slow adopters
Restaurants & Café,0,Moderate (model),Moderate adopters
Telecommunication,0,Moderate (model),Moderate adopters
Transportation,0,Moderate (model),Moderate adopters
