Sector,AvgTicket2019,LogAvgTicket2019,GrowthIndexDec2023
Transportation,751.9999503660317,2.8762178119270687,612.245580352982
Health,147.2366589526704,2.168015954014498,279.50670099652024
Restaurants & Café,62.38064232131976,1.7950498422898105,811.6812397248747
Hotels,592.4845301683797,2.7726770153568796,288.82858837485173
Beverage and Food,96.53224846141873,1.9846724220402507,774.0255519123787
Clothing and Footwear,221.48133889811675,2.3453371402431213,281.3408598705945
Recreation and Culture,247.7972070295485,2.39409640705017,365.5691170501104
Miscellaneous Goods and Services,468.06194110194554,2.670303329353494,2280.185097743835
Electronic & Electric Devices,576.4276428452913,2.7607447994273677,380.4912751396839
Furniture,617.6859965490297,2.790767755635215,446.6551328280465
Construction & Building Materials,854.5153868128187,2.931719887241352,653.0187656033964
Jewelry,1337.3811760625108,3.12625520611548,144.55616859782984
Telecommunication,302.7006326187779,2.4810133285963394,721.9556585387161
Education,2907.33671716575,3.463495333090879,224.2284855663267
Public Utilities,178.45449372283755,2.2515274885453045,887.0184574327893
Others,161.875219671916,2.2091803707827706,1373.894932238367
